                     is so sad for my APL friend.............,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
         or i just worry too much?        ,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
         or i just worry too much?        ,neg
       Juuuuuuuuuuuuuuuuussssst Chillin!!,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
         or i just worry too much?        ,neg
       Juuuuuuuuuuuuuuuuussssst Chillin!!,neg
       Sunny Again        Work Tomorrow  :-|       TV Tonight,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
         or i just worry too much?        ,neg
       Juuuuuuuuuuuuuuuuussssst Chillin!!,neg
       Sunny Again        Work Tomorrow  :-|       TV Tonight,neg
      handed in my uniform today . i miss you already,neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
         or i just worry too much?        ,neg
       Juuuuuuuuuuuuuuuuussssst Chillin!!,neg
       Sunny Again        Work Tomorrow  :-|       TV Tonight,neg
      handed in my uniform today . i miss you already,neg
      hmmmm.... i wonder how she my number @-),neg
                     is so sad for my APL friend.............,neg
                   I missed the New Moon trailer...,neg
              omg its already 7:30 :O,neg
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,neg
         i think mi bf is cheating on me!!!       T_T,neg
         or i just worry too much?        ,neg
       Juuuuuuuuuuuuuuuuussssst Chillin!!,neg
       Sunny Again        Work Tomorrow  :-|       TV Tonight,neg
      handed in my uniform today . i miss you already,neg
      hmmmm.... i wonder how she my number @-),neg
      I must think about positive..,neg
